成都微银众筹,存活5年0个月,2014/12/1,2019/12/26,电子商务,四川,尚未获投
小鸟校园,存活2年5个月,2017/7/1,2019/12/26,教育,北京,尚未获投
深澜软件,存活20年2个月,1999/10/1,2019/12/26,工具软件,北京,不明确
连农科技,存活4年7个月,2015/5/1,2019/12/26,农业,北京,尚未获投
享IN,存活6年4个月,2013/8/1,2019/12/26,社交网络,上海,尚未获投
小事,存活4年1个月,2015/11/1,2019/12/26,汽车交通,广东,不明确
智勤教育,存活5年3个月,2014/9/1,2019/12/26,体育运动,上海,A轮
贷款宝借款,存活4年6个月,2015/6/1,2019/12/26,金融,上海,尚未获投
学印教育,存活2年8个月,2017/4/1,2019/12/26,教育,上海,尚未获投
1号全球购,存活4年2个月,2015/10/1,2019/12/26,电子商务,广东,尚未获投
化学魔方,存活2年2个月,2017/10/1,2019/12/26,企业服务,辽宁,尚未获投
艾融软件,存活4年9个月,2015/3/1,2019/12/26,金融,北京,尚未获投
臻升梦蝶,存活5年1个月,2014/11/1,2019/12/26,广告营销,浙江,尚未获投
洋葱优厨,存活4年6个月,2015/6/1,2019/12/25,本地生活,四川,不明确
一起阔步,存活7年7个月,2012/5/1,2019/12/25,工具软件,北京,天使轮
清成教育,存活5年0个月,2014/12/1,2019/12/25,教育,北京,天使轮
急脚递,存活0年3个月,2019/9/1,2019/12/25,物流,天津,尚未获投
盛世天佑,存活6年3个月,2013/9/1,2019/12/25,游戏,北京,尚未获投
慧百购,存活3年10个月,2016/2/1,2019/12/25,电子商务,浙江,不明确
维居网,存活6年5个月,2013/7/1,2019/12/25,房产服务,广东,天使轮
互赞投票,存活1年8个月,2018/4/1,2019/12/25,工具软件,浙江,尚未获投
北斗链,存活7年3个月,2012/9/1,2019/12/25,企业服务,河南,尚未获投
车云科技,存活3年8个月,2016/4/1,2019/12/25,汽车交通,广东,尚未获投
CoinON,存活3年10个月,2016/2/1,2019/12/25,文娱传媒,江苏,战略投资
借钱乐,存活2年1个月,2017/11/1,2019/12/25,金融,吉林,尚未获投
菲尔幕影业,存活5年6个月,2014/6/1,2019/12/25,文娱传媒,北京,尚未获投
全球省一半,存活4年8个月,2015/4/1,2019/12/25,电子商务,北京,尚未获投
恒智敏,存活4年7个月,2015/5/1,2019/12/25,智能硬件,广东,尚未获投
念,存活4年8个月,2015/4/1,2019/12/24,社交网络,上海,天使轮
komi-科米创想,存活3年8个月,2016/4/1,2019/12/24,游戏,四川,尚未获投
爱特留学,存活8年4个月,2011/8/1,2019/12/24,教育,北京,不明确
速放,存活1年0个月,2018/12/1,2019/12/24,金融,浙江,尚未获投
欧乐源动,存活4年10个月,2015/2/1,2019/12/24,新工业,北京,天使轮
播美,存活4年1个月,2015/11/1,2019/12/24,医疗健康,辽宁,天使轮
婚车来啦,存活4年9个月,2015/3/1,2019/12/24,本地生活,北京,天使轮
乐孕文化,存活3年3个月,2016/9/1,2019/12/24,医疗健康,湖南,尚未获投
兴普农服,存活1年4个月,2018/8/1,2019/12/24,农业,湖北,天使轮
思路奇科技,存活11年9个月,2008/3/1,2019/12/24,游戏,北京,尚未获投
康微健康,存活6年5个月,2013/7/1,2019/12/24,医疗健康,上海,尚未获投
道明家庭教育,存活1年8个月,2018/4/1,2019/12/24,本地生活,广东,尚未获投
福医在线,存活3年10个月,2016/2/1,2019/12/24,金融,上海,尚未获投
英策思叮,存活3年0个月,2016/12/1,2019/12/24,广告营销,广东,尚未获投
奢悦,存活3年7个月,2016/5/1,2019/12/24,电子商务,广东,尚未获投
嘉奇空间,存活4年0个月,2015/12/1,2019/12/24,企业服务,江苏,不明确
万能智能遥控精灵,存活3年1个月,2016/11/1,2019/12/24,工具软件,黑龙江,尚未获投
淘伴网,存活7年8个月,2012/4/1,2019/12/24,电子商务,北京,不明确
噼啪运动,存活7年1个月,2012/11/1,2019/12/24,医疗健康,北京,尚未获投
漫悠悠,存活9年4个月,2010/8/1,2019/12/23,文娱传媒,广东,不明确
汉邦节能,存活6年4个月,2013/8/1,2019/12/23,新工业,浙江,尚未获投
啊健康,存活6年5个月,2013/7/1,2019/12/23,医疗健康,北京,不明确
乐优乐丽YOEVER,存活3年9个月,2016/3/1,2019/12/23,本地生活,浙江,种子轮
PLAY玩具控,存活3年11个月,2016/1/1,2019/12/23,社交网络,北京,天使轮
一好科技,存活2年9个月,2017/3/1,2019/12/23,企业服务,北京,天使轮
花生米APP,存活4年7个月,2015/5/1,2019/12/23,工具软件,广东,不明确
赢势技术,存活2年9个月,2017/3/1,2019/12/23,企业服务,上海,尚未获投
叮当叮当,存活2年6个月,2017/6/1,2019/12/23,电子商务,重庆,尚未获投
易票通集团,存活5年9个月,2014/3/1,2019/12/23,本地生活,北京,尚未获投
宝创传奇,存活3年7个月,2016/5/1,2019/12/23,新工业,北京,尚未获投
新生大学,存活4年0个月,2015/12/1,2019/12/23,教育,北京,天使轮
花镜信息,存活3年9个月,2016/3/1,2019/12/23,社交网络,北京,尚未获投
千合博瑞,存活3年4个月,2016/8/1,2019/12/23,金融,浙江,尚未获投
蜗牛保险,存活6年1个月,2013/11/1,2019/12/23,金融,广东,天使轮
文都信息,存活3年1个月,2016/11/1,2019/12/23,教育,湖北,尚未获投
哈希财经,存活3年9个月,2016/3/1,2019/12/23,金融,北京,尚未获投
